major,sp,ntip,age
asterids,Antirrhineae,191,43.92942785
asterids,Apioideae,847,44.51296523
asterids,Apocynaceae,733,85.64703013
asterids,Bignonieae,99,49.78942187
asterids,Ericaceae,386,117.2846676
asterids,Lecythidaceae,104,46.03496265
asterids,Lobelioideae,117,4.977040997
asterids,Lysimachieae,94,28.77610936
asterids,Primulaceae,192,31.68916279
asterids,Ruellia,120,10.6311142
asterids,Salvia,330,31.35342678
asterids,Solanaceae,874,30.3267335
asterids,Spermacoceae,151,44.86481484
asterids,Vanguerieae,134,21.11390068
asterids,Viburnum,126,62.579236
magnolids,Annonaceae,188,96.75591578
monocot,Allium,309,27.79119026
monocot,Araceae,96,121.6831752
monocot,Arecaceae,1460,105.3863801
monocot,Bulbophyllum,178,20.60004221
monocot,Carex,991,37.17486977
monocot,Cyclanthaceae,51,50.65117486
monocot,Heliconia,125,3.869640004
monocot,Paepalanthus,140,26.20121774
monocot,Poaceae,2632,57.79951233
monocot,Restionaceae,78,70.97912826
monocot,Velloziaceae,94,74.31225832
monocot,Vrieseinae,56,7.906537192
rosids,Alysseae,60,15.56290569
rosids,Anarcardiaceae,250,107.6895029
rosids,Arabideae,226,15.84175222
rosids,Begonia,301,22.77553995
rosids,Bombacoideae,93,58.78157454
rosids,Cardamineae,125,14.89446301
rosids,Chamaecrista,93,33.80660274
rosids,Chrysobalanaceae,134,44.71822591
rosids,Croton,253,42.37890387
rosids,Erysimeae,62,11.54262173
rosids,Eucalypts,665,65.38803801
rosids,Fagales,501,105.7108247
rosids,Ficus,254,78.97507585
rosids,Lepidieae,91,15.46110261
rosids,Lupinus,95,12.29494099
rosids,Melastomataceae,1811,68.50865545
rosids,Meliaceae,217,66.94321536
rosids,Mimosoids,1610,41.24691113
rosids,Myrteae,502,41.19276922
rosids,Onagraceae,254,98.82505
rosids,Quercus,139,50.49280834
rosids,Thelypodieae,83,15.8792272
unplaced,Hakea,137,34.56965966
